Year,Team 1,Team 2
"2007, 2007, 2007","155, 169",143
"2008, 2007",167,169
"2006, 2006, 2006","20, 53",16
"2006, 2006, 2006","30, 77",25
"2006, 2006, 2006, 2006","41, 47","152, 29"
"2005, 2005, 2006",20,"29, 41"
"2006, 2005, 2005",47,"102, 89"
"2006, 2006, 2006","109, 79",66
"2006, 2006, 2006","126, 98",71
"2006, 2006, 2006","200, 80",75
"2006, 2006, 2006","111, 99",76
"2006, 2006, 2006","115, 119",88
"2006, 2006, 2006","108, 173",98
"2006, 2006, 2006","114, 144",104
"2006, 2006, 2006","141, 171",110
"2007, 2006",101,116
"2005, 2006",165,138
"2006, 2006, 2006","188, 196",161
"2007, 2006",188,194
"2005, 2005, 2005, 2005","207, 12, 49",8
"2005, 2005, 2005","16, 41",12
"2005, 2005, 2005","47, 52",27
"2005, 2005, 2005","56, 66",45
"2005, 2006, 2005","119, 39",59
"2005, 2006, 2005","162, 108",73
"2005, 2005, 2005","87, 96",74
"2004, 2005",80,78
"2004, 2004, 2004, 2005","158, 188, 191",91
"2005, 2005, 2006",141,"193, 202"
"2004, 2004, 2004","8, 59",4
"2004, 2004, 2004, 2004","24, 46","247, 19"
"2004, 2004, 2004","22, 88",20
"2004, 2004, 2004, 2004, 2004","28, 52, 91","153, 22"
"2004, 2004, 2004","50, 73",37
"2004, 2004, 2004","70, 98",46
"2004, 2004, 2004","60, 80",50
"2004, 2004, 2004",4,"8, 59"
"2004, 2004, 2004, 2004","129, 288, 94",63
"2005, 2004",75,88
"2005, 2004",71,91
"2005, 2004",69,106
"2003, 2003, 2004","138, 168",121
"2004, 2004, 2004","201, 234",152
"2003, 2004",223,170
"2003, 2004",223,191
"2003, 2004",255,227
"2003, 2004",290,232
"2003, 2004",276,256
"2003, 2004",279,263
"2003, 2004",283,264
"2005, 2004",226,271
"2003, 2003, 2003, 2003","107, 21, 66",16
"2003, 2003, 2003","22, 68",17
"2003, 2003, 2003, 2003","192, 34, 41",25
"2003, 2003, 2003","36, 54",28
"2002, 2002, 2003",36,"88, 35"
"2003, 2003, 2003","50, 75",43
"2003, 2003, 2003, 2003","143, 173, 97",47
"2003, 2003, 2003","125, 91",78
"2002, 2003",95,98
"2003, 2003, 2003","123, 217",109
"2004, 2004, 2003","107, 139",119
"2002, 2002, 2003","184, 225",140
"2003, 2003, 2003","210, 213",174
"2002, 2002, 2002, 2003",13,"185, 26, 42"
"2002, 2002, 2003",217,"257, 203"
"2004, 2003",170,205
"2004, 2003",291,286
"2002, 2002, 2002","10, 99",9
"2002, 2002, 2002","245, 15",14
"2002, 2002, 2002","41, 96",30
"2001, 2001, 2001, 2002",23,"225, 27, 34"
"2002, 2002, 2002","162, 60",52
"2001, 2002",61,55
"2002, 2002, 2002","165, 62",56
"2001, 2002, 2002","112, 217",64
"2001, 2001, 2002",64,"101, 67"
"2001, 2001, 2001, 2002","123, 138, 219",68
"2002, 2002, 2002",74,"159, 90"
"2002, 2002, 2002","127, 81",75
"2001, 2001, 2002",78,"112, 84"
"2002, 2002, 2002","128, 93",86
"2003, 2002",92,88
"2001, 2002",110,91
"2002, 2003, 2002","192, 69",91
"2002, 2002, 2002","112, 141",99
"2003, 2002, 2002, 2002, 2002",130,"174, 255, 256, 286"
"2001, 2002, 2002","252, 287",201
"2001, 2002",226,207
"2000, 2002",292,262
"2003, 2002",264,263
"2001, 2002",289,264
"2001, 2001, 2001","14, 41",11
"2001, 2001, 2001",24,"44, 48"
"2001, 2001, 2001",60,"81, 94"
"2001, 2001, 2001",74,"139, 79"
"2001, 2001, 2001",94,"218, 99"
"2001, 2000",95,102
"2001, 2001, 2001, 2001",98,"110, 146, 208"
"2001, 2001, 2001, 2001",106,"119, 186, 216"
"2001, 2002, 2001","112, 84",78
"2001, 2001, 2001, 2001","119, 186, 216",106
"2001, 2001, 2001","139, 79",74
"2001, 2000",140,182
"2001, 2001, 2001, 2001",140,"155, 234, 279"
"2001, 2001, 2001, 2001","110, 146, 208",98
"2001, 2001, 2001",152,"184, 188"
"2001, 2001, 2001, 2001","155, 234, 279",140
"2001, 2001, 2001","164, 226",157
"2001, 1999",182,172
"2001, 2001, 2001","184, 188",152
"2001, 2001, 2000","218, 281",220
"2001, 2001, 2001","218, 99",94
"2001, 2001, 2002, 2001","225, 27, 34",23
"2001, 2000",229,263
"2001, 2000",249,256
"2001, 2000",251,258
"2001, 2000",267,286
"2001, 2000",272,279
"2000, 2000, 2000","64, 95",38
"2000, 2000, 2000","49, 74",41
"2001, 2001, 2000, 2001","33, 66","42, 80"
"2000, 2000, 2000, 2000","108, 147, 244",97
"2000, 2000, 2000","112, 143",104
"2000, 2000, 2000","124, 146",114
"2000, 2000, 2000","156, 157",118
"2000, 2000, 2000","151, 193",121
"2000, 2000, 2000, 2000","171, 210, 287",126
"2000, 2000, 2000","201, 206",151
"1999, 2000",149,166
"1999, 2000",249,225
"1999, 2000",255,234
"1999, 2000",268,266
"1999, 1999, 1999, 1999","4, 75, 88",1
"1999, 2000, 1999","2, 67",1
"1999, 1999, 1999","32, 96",28
"1999, 2000, 1999","45, 89",40
"1999, 1999, 1999","201, 48",44
"1999, 1999, 1999, 1999","54, 61","45, 93"
"1998, 1999",116,145
"1998, 1998, 1998, 1999","194, 221, 252",158
"1998, 1999",223,241
"1999, 1999",250,247
"1998, 1998, 1998, 1998","2, 85","3, 29"
"1998, 1998, 1998","39, 57",27
"1998, 1998, 1998, 1998","2, 85","3, 29"
"1998, 1998, 1998, 1998, 1998","10, 69, 126","8, 94"
"1998, 1998, 1998","111, 55",41
"1997, 1998",77,58
"1998, 1998, 1998, 1998","106, 107, 118",79
"1999, 1998",145,116
"1997, 1997, 1997, 1998","106, 98","141, 78"
"1999, 1998",265,258
"1997, 1998, 1997","28, 71",23
"1997, 1997, 1997","58, 66",38
"1997, 1997, 1997","136, 93",82
"1997, 1997",246,245
"1996, 1996, 1996","31, 46",21
"1996, 1996, 1996","41, 49",28
"1995, 1996",69,31
"1996, 1996, 1996","70, 90",58
"1995, 1996",153,149
"1994, 1995",64,41
"1994, 1995, 1994","67, 82",55
"1995, 1994",41,64
"1994, 1994, 1994, 1994","107, 77, 91",71
"1993, 1993, 1993","41, 67",31
"1992, 1992, 1992, 1992, 1993","23, 95","32, 53, 97"
"1992, 1993",254,275
"1992, 1992, 1992","8, 32",5
"1992, 1992, 1992, 1992","17, 27","12, 36"
"1992, 1992, 1992","190, 96",85
"1990, 1990, 1990, 1990, 1990","20, 24, 29","11, 32"
"1989, 1990",46,56
"1987, 1988, 1987, 1988","33, 93","59, 41"
"1987, 1987, 1987","6, 48",4
"1989, 1987",92,87
"1987, 1987, 1988",183,"240, 192"
"1987, 1986",30,41
"1983, 1984",239,225
"1984, 1983",70,68
"1982, 1983",248,212
"1983, 1982",235,247
"1981, 1981, 1981, 1981","3, 45","5, 26"
